date,dad,trt,water_trt,plant,diameter_mm,leaf_count,stage,fruit_count
3/17/2025,4,E,w,30,20,7,v,0
3/17/2025,4,E,d,31,31,9,v,0
3/17/2025,4,E,d,32,19,6,v,0
3/17/2025,4,E,w,33,34,12,v,0
3/17/2025,4,E,d,34,22,5,v,0
3/17/2025,4,E,w,35,28,9,v,0
3/17/2025,4,E,w,36,31,7,v,0
3/17/2025,4,E,d,37,32,15,v,0
3/17/2025,4,E,d,38,27,10,v,0
3/17/2025,4,T,d,1,20,9,v,0
3/17/2025,4,T,w,2,19,9,v,0
3/17/2025,4,T,d,3,20,7,v,0
3/17/2025,4,T,d,4,12,4,v,0
3/17/2025,4,T,w,5,21,9,v,0
3/17/2025,4,T,d,6,21,7,v,0
3/17/2025,4,T,d,7,18,7,v,0
3/17/2025,4,T,w,8,26,10,v,0
3/17/2025,4,T,w,9,26,8,v,0
3/17/2025,4,T,d,10,16,9,v,0
3/17/2025,4,T,d,11,23,9,v,0
3/17/2025,4,T,w,12,21,8,v,0
3/17/2025,4,T,d,13,23,5,v,0
3/17/2025,4,T,d,14,21,8,v,0
3/17/2025,4,T,d,15,24,7,v,0
3/17/2025,4,T,d,16,17,6,v,0
3/17/2025,4,T,w,17,16,7,v,0
3/17/2025,4,T,w,18,23,7,v,0
3/17/2025,4,T,d,19,19,8,v,0
3/17/2025,4,T,w,20,23,8,v,0
3/17/2025,4,T,w,21,13,6,v,0
3/17/2025,4,T,d,22,21,7,v,0
3/17/2025,4,T,d,23,17,10,v,0
3/17/2025,4,T,d,24,30,7,v,0
3/17/2025,4,T,w,25,19,8,v,0
3/17/2025,4,T,d,26,15,6,v,0
3/17/2025,4,T,d,27,21,8,v,0
3/17/2025,4,T,d,28,26,7,v,0
3/17/2025,4,T,d,29,17,6,v,0
3/17/2025,4,T,w,30,14,8,v,0
3/17/2025,4,T,w,31,16,8,v,0
3/17/2025,4,T,w,32,27,10,v,0
3/17/2025,4,T,w,33,25,9,v,0
3/17/2025,4,T,w,34,17,8,v,0
3/17/2025,4,T,w,35,26,11,v,0
3/17/2025,4,T,w,36,20,7,v,0
3/17/2025,4,T,w,37,22,7,v,0
3/17/2025,4,T,w,38,20,8,v,0
3/17/2025,4,HP,d,1,26,6,v,0
3/17/2025,4,HP,w,2,17,8,v,0
3/17/2025,4,HP,w,3,16,8,v,0
3/17/2025,4,HP,d,4,27,8,v,0
3/17/2025,4,HP,d,5,24,7,v,0
3/17/2025,4,HP,d,6,21,5,v,0
3/17/2025,4,HP,w,7,33,21,v,0
3/17/2025,4,HP,w,8,27,9,v,0
3/17/2025,4,HP,w,9,26,8,v,0
3/17/2025,4,HP,w,10,na,na,na,na
3/17/2025,4,HP,w,11,21,7,v,0
3/17/2025,4,HP,d,12,26,7,v,0
3/17/2025,4,HP,w,13,19,8,v,0
3/17/2025,4,HP,w,14,20,3,v,0
3/17/2025,4,HP,w,15,23,7,v,0
3/17/2025,4,HP,w,16,26,8,v,0
3/17/2025,4,HP,w,17,21,8,v,0
3/17/2025,4,HP,d,18,19,6,v,0
3/17/2025,4,HP,w,19,18,7,v,0
3/17/2025,4,HP,w,20,26,9,v,0
3/17/2025,4,HP,w,21,28,6,v,0
3/17/2025,4,HP,d,22,30,11,v,0
3/17/2025,4,HP,d,23,23,7,v,0
3/17/2025,4,HP,d,24,23,8,v,0
3/17/2025,4,HP,d,25,22,6,v,0
3/17/2025,4,HP,d,26,22,8,v,0
3/17/2025,4,HP,d,27,16,6,v,0
3/17/2025,4,HP,d,28,20,6,v,0
3/17/2025,4,HP,d,29,19,8,v,0
3/17/2025,4,HP,w,30,29,9,v,0
3/17/2025,4,HP,w,31,30,6,v,0
3/17/2025,4,HP,w,32,23,5,v,0
